date,time,srcIP,distIP,port,flow
2016-4-1,0:00:01,202.120.128.2,202.120.163.108,80,14232
2016-4-1,0:00:01,202.120.220.27,202.120.216.221,80,2008
2016-4-1,0:00:08,202.120.140.75,202.120.163.105,80,4490
2016-4-1,0:00:08,202.120.140.75,202.120.163.105,80,4628
2016-4-1,0:00:14,202.120.128.230,202.120.240.16,80,299884
2016-4-1,0:00:14,202.120.128.230,202.120.240.16,80,39726
2016-4-1,0:00:18,202.120.220.229,202.120.219.246,80,1897
2016-4-1,0:00:18,202.120.220.229,202.120.219.246,80,404
2016-4-1,0:00:18,202.120.220.61,202.120.112.246,80,1799
2016-4-1,0:00:18,202.120.216.39,202.120.112.246,80,2027
2016-4-1,0:00:18,202.120.216.43,202.120.112.246,80,2027
2016-4-1,0:00:18,202.120.216.33,202.120.112.246,80,1799
2016-4-1,0:00:18,202.120.220.223,202.120.112.246,80,1805
2016-4-1,0:00:18,202.120.216.21,202.120.112.246,80,2027
2016-4-1,0:00:18,202.120.220.155,202.120.112.246,80,2027
2016-4-1,0:00:19,202.120.220.60,202.120.112.246,80,3329
2016-4-1,0:00:19,202.120.220.229,202.120.216.221,80,3669
2016-4-1,0:00:19,202.120.220.61,202.120.216.221,80,4743
2016-4-1,0:00:19,202.120.220.229,202.120.216.247,80,404
2016-4-1,0:00:19,202.120.220.18,202.120.112.246,80,3500
2016-4-1,0:00:19,202.120.220.223,202.120.216.221,80,2310
2016-4-1,0:00:19,202.120.220.18,202.120.112.246,80,641
2016-4-1,0:00:19,202.120.220.23,202.120.217.221,80,292
2016-4-1,0:00:19,202.120.220.18,202.120.112.246,80,2518
2016-4-1,0:00:19,202.120.220.18,202.120.112.246,80,1811
2016-4-1,0:00:19,202.120.220.31,202.120.16.53,80,76096
2016-4-1,0:00:19,202.120.220.248,202.120.105.40,80,24126
2016-4-1,0:00:19,202.120.220.229,202.120.236.221,80,3673
2016-4-1,0:00:19,202.120.220.229,202.120.216.247,80,3673
2016-4-1,0:00:19,202.120.216.33,202.120.216.221,80,4743
2016-4-1,0:00:19,202.120.220.229,202.120.216.221,80,404
2016-4-1,0:00:19,202.120.220.221,202.120.216.221,80,1958
2016-4-1,0:00:19,202.120.216.172,202.120.112.30,80,292
2016-4-1,0:00:19,202.120.220.60,202.120.112.246,80,2027
2016-4-1,0:00:19,202.120.220.61,202.120.216.221,80,2893
2016-4-1,0:00:19,202.120.220.229,202.120.236.221,80,404
2016-4-1,0:00:19,202.120.220.229,202.120.236.221,80,1891
2016-4-1,0:00:19,202.120.220.229,202.120.216.221,80,1887
2016-4-1,0:00:19,202.120.220.229,202.120.216.247,80,1891
2016-4-1,0:00:19,202.120.216.221,202.120.216.221,80,3377
2016-4-1,0:00:19,202.120.216.172,202.120.112.30,80,992
2016-4-1,0:00:19,202.120.220.27,202.120.216.221,80,760
2016-4-1,0:00:19,202.120.220.27,202.120.218.221,80,1072
2016-4-1,0:00:19,202.120.216.87,202.120.216.221,80,292
2016-4-1,0:00:19,202.120.220.18,202.120.112.246,80,448
2016-4-1,0:00:19,202.120.216.33,202.120.216.221,80,2893
2016-4-1,0:00:22,202.120.140.228,202.120.161.2,80,3290
2016-4-1,0:00:32,202.120.140.228,202.120.160.248,80,3293
2016-4-1,0:00:36,202.120.140.74,202.120.163.108,80,1493
2016-4-1,0:00:36,202.120.140.74,202.120.163.108,80,1209
2016-4-1,0:00:36,202.120.140.74,202.120.163.108,80,1507
2016-4-1,0:00:36,202.120.140.74,202.120.163.108,80,641
2016-4-1,0:00:36,202.120.140.74,202.120.163.108,80,641
2016-4-1,0:00:36,202.120.140.74,202.120.163.108,80,1223
2016-4-1,0:00:37,202.120.140.228,202.120.161.2,80,3942
2016-4-1,0:00:37,202.120.140.228,202.120.161.2,80,492
2016-4-1,0:00:37,202.120.140.228,202.120.161.2,80,2156
2016-4-1,0:00:39,202.120.140.228,202.120.165.198,80,752
2016-4-1,0:00:39,202.120.140.228,202.120.161.1,80,2156
2016-4-1,0:00:39,202.120.140.228,202.120.161.1,80,492
2016-4-1,0:00:40,202.120.140.74,202.120.163.108,80,1241
2016-4-1,0:00:40,202.120.140.74,202.120.163.108,80,834
2016-4-1,0:00:40,202.120.140.74,202.120.163.108,80,352
2016-4-1,0:00:40,202.120.140.228,202.120.165.199,80,492
2016-4-1,0:00:40,202.120.140.228,202.120.165.199,80,2164
2016-4-1,0:00:40,202.120.140.228,202.120.160.247,80,2164
2016-4-1,0:00:40,202.120.140.228,202.120.160.247,80,492
2016-4-1,0:00:41,202.120.220.229,202.120.216.221,80,3322
2016-4-1,0:00:41,202.120.220.27,202.120.216.221,80,434
2016-4-1,0:00:41,202.120.220.27,202.120.112.247,80,116
2016-4-1,0:00:41,202.120.216.144,202.120.112.246,80,1799
2016-4-1,0:00:41,202.120.216.144,202.120.219.246,80,2271
2016-4-1,0:00:41,202.120.220.221,202.120.218.221,80,1448
2016-4-1,0:00:41,202.120.220.33,202.120.16.53,80,49452
2016-4-1,0:00:41,202.120.220.27,202.120.112.247,80,158
2016-4-1,0:00:41,202.120.216.144,202.120.219.246,80,3907
2016-4-1,0:00:41,202.120.216.144,202.120.112.246,80,3484
2016-4-1,0:00:41,202.120.220.144,202.120.112.246,80,3329
2016-4-1,0:00:41,202.120.216.144,202.120.112.246,80,641
2016-4-1,0:00:41,202.120.220.221,202.120.218.221,80,3514
2016-4-1,0:00:41,202.120.220.64,202.120.112.246,80,3329
2016-4-1,0:00:41,202.120.216.144,202.120.112.246,80,3181
2016-4-1,0:00:41,202.120.216.144,202.120.112.246,80,448
2016-4-1,0:00:41,202.120.216.144,202.120.112.246,80,2630
2016-4-1,0:00:41,202.120.216.144,202.120.112.246,80,1803
2016-4-1,0:00:41,202.120.220.122,202.120.112.246,80,641
2016-4-1,0:00:41,202.120.220.27,202.120.112.247,80,116
2016-4-1,0:00:41,202.120.220.122,202.120.112.246,80,3484
2016-4-1,0:00:41,202.120.128.1,202.120.157.225,80,1917
2016-4-1,0:00:41,202.120.220.30,202.120.112.30,80,3548
2016-4-1,0:00:41,202.120.220.30,202.120.112.30,80,992
2016-4-1,0:00:41,202.120.220.30,202.120.112.30,80,3200
2016-4-1,0:00:41,202.120.220.30,202.120.112.30,80,1871
2016-4-1,0:00:41,202.120.220.30,202.120.112.30,80,448
2016-4-1,0:00:41,202.120.220.221,202.120.112.247,80,2628
2016-4-1,0:00:41,202.120.220.221,202.120.112.3,80,3514
2016-4-1,0:00:41,202.120.220.122,202.120.112.246,80,448
2016-4-1,0:00:41,202.120.220.23,202.120.216.221,80,1228
2016-4-1,0:00:41,202.120.220.23,202.120.218.221,80,604
2016-4-1,0:00:41,202.120.220.27,202.120.112.247,80,158
2016-4-1,0:00:41,202.120.220.221,202.120.218.221,80,352
2016-4-1,0:00:41,202.120.220.221,202.120.218.221,80,1041
2016-4-1,0:00:41,202.120.220.144,202.120.112.246,80,2027
