date,time,srcIP,distIP,port,flow
2016-4-1,0:00:01,202.120.0.0,202.120.0.1,80,14232
2016-4-1,0:00:01,202.120.0.2,202.120.0.3,80,2008
2016-4-1,0:00:08,202.120.0.4,202.120.0.5,80,4490
2016-4-1,0:00:08,202.120.0.4,202.120.0.5,80,4628
2016-4-1,0:00:14,202.120.0.6,202.120.0.7,80,299884
2016-4-1,0:00:14,202.120.0.6,202.120.0.7,80,39726
2016-4-1,0:00:18,202.120.0.8,202.120.0.9,80,1897
2016-4-1,0:00:18,202.120.0.8,202.120.0.9,80,404
2016-4-1,0:00:18,202.120.0.10,202.120.0.11,80,1799
2016-4-1,0:00:18,202.120.0.12,202.120.0.11,80,2027
2016-4-1,0:00:18,202.120.0.13,202.120.0.11,80,2027
2016-4-1,0:00:18,202.120.0.14,202.120.0.11,80,1799
2016-4-1,0:00:18,202.120.0.15,202.120.0.11,80,1805
2016-4-1,0:00:18,202.120.0.16,202.120.0.11,80,2027
2016-4-1,0:00:18,202.120.0.17,202.120.0.11,80,2027
2016-4-1,0:00:19,202.120.0.18,202.120.0.11,80,3329
2016-4-1,0:00:19,202.120.0.8,202.120.0.19,80,3669
2016-4-1,0:00:19,202.120.0.10,202.120.0.20,80,4743
2016-4-1,0:00:19,202.120.0.8,202.120.0.21,80,404
2016-4-1,0:00:19,202.120.0.22,202.120.0.11,80,3500
2016-4-1,0:00:19,202.120.0.15,202.120.0.3,80,2310
2016-4-1,0:00:19,202.120.0.22,202.120.0.11,80,641
2016-4-1,0:00:19,202.120.0.23,202.120.0.24,80,292
2016-4-1,0:00:19,202.120.0.22,202.120.0.11,80,2518
2016-4-1,0:00:19,202.120.0.22,202.120.0.11,80,1811
2016-4-1,0:00:19,202.120.0.25,202.120.0.26,80,76096
2016-4-1,0:00:19,202.120.0.27,202.120.0.28,80,24126
2016-4-1,0:00:19,202.120.0.8,202.120.0.29,80,3673
2016-4-1,0:00:19,202.120.0.8,202.120.0.21,80,3673
2016-4-1,0:00:19,202.120.0.14,202.120.0.19,80,4743
2016-4-1,0:00:19,202.120.0.8,202.120.0.19,80,404
2016-4-1,0:00:19,202.120.0.30,202.120.0.31,80,1958
2016-4-1,0:00:19,202.120.0.32,202.120.0.33,80,292
2016-4-1,0:00:19,202.120.0.18,202.120.0.11,80,2027
2016-4-1,0:00:19,202.120.0.10,202.120.0.20,80,2893
2016-4-1,0:00:19,202.120.0.8,202.120.0.29,80,404
2016-4-1,0:00:19,202.120.0.8,202.120.0.29,80,1891
2016-4-1,0:00:19,202.120.0.8,202.120.0.19,80,1887
2016-4-1,0:00:19,202.120.0.8,202.120.0.21,80,1891
2016-4-1,0:00:19,202.120.0.34,202.120.0.20,80,3377
2016-4-1,0:00:19,202.120.0.32,202.120.0.33,80,992
2016-4-1,0:00:19,202.120.0.2,202.120.0.20,80,760
2016-4-1,0:00:19,202.120.0.2,202.120.0.35,80,1072
2016-4-1,0:00:19,202.120.0.36,202.120.0.20,80,292
2016-4-1,0:00:19,202.120.0.22,202.120.0.11,80,448
2016-4-1,0:00:19,202.120.0.14,202.120.0.19,80,2893
2016-4-1,0:00:22,202.120.0.37,202.120.0.38,80,3290
2016-4-1,0:00:32,202.120.0.37,202.120.0.39,80,3293
2016-4-1,0:00:36,202.120.0.40,202.120.0.1,80,1493
2016-4-1,0:00:36,202.120.0.40,202.120.0.1,80,1209
2016-4-1,0:00:36,202.120.0.40,202.120.0.1,80,1507
2016-4-1,0:00:36,202.120.0.40,202.120.0.1,80,641
2016-4-1,0:00:36,202.120.0.40,202.120.0.1,80,641
2016-4-1,0:00:36,202.120.0.40,202.120.0.1,80,1223
2016-4-1,0:00:37,202.120.0.37,202.120.0.38,80,3942
2016-4-1,0:00:37,202.120.0.37,202.120.0.38,80,492
2016-4-1,0:00:37,202.120.0.37,202.120.0.38,80,2156
2016-4-1,0:00:39,202.120.0.37,202.120.0.41,80,752
2016-4-1,0:00:39,202.120.0.37,202.120.0.42,80,2156
2016-4-1,0:00:39,202.120.0.37,202.120.0.42,80,492
2016-4-1,0:00:40,202.120.0.40,202.120.0.1,80,1241
2016-4-1,0:00:40,202.120.0.40,202.120.0.1,80,834
2016-4-1,0:00:40,202.120.0.40,202.120.0.1,80,352
2016-4-1,0:00:40,202.120.0.37,202.120.1.0,80,492
2016-4-1,0:00:40,202.120.0.37,202.120.1.0,80,2164
2016-4-1,0:00:40,202.120.0.37,202.120.1.1,80,2164
2016-4-1,0:00:40,202.120.0.37,202.120.1.1,80,492
2016-4-1,0:00:41,202.120.0.8,202.120.0.20,80,3322
2016-4-1,0:00:41,202.120.0.2,202.120.0.3,80,434
2016-4-1,0:00:41,202.120.0.2,202.120.1.2,80,116
2016-4-1,0:00:41,202.120.1.3,202.120.0.11,80,1799
2016-4-1,0:00:41,202.120.1.3,202.120.0.9,80,2271
2016-4-1,0:00:41,202.120.0.30,202.120.0.35,80,1448
2016-4-1,0:00:41,202.120.1.4,202.120.0.26,80,49452
2016-4-1,0:00:41,202.120.0.2,202.120.1.2,80,158
2016-4-1,0:00:41,202.120.1.3,202.120.0.9,80,3907
2016-4-1,0:00:41,202.120.1.3,202.120.0.11,80,3484
2016-4-1,0:00:41,202.120.1.5,202.120.0.11,80,3329
2016-4-1,0:00:41,202.120.1.3,202.120.0.11,80,641
2016-4-1,0:00:41,202.120.0.30,202.120.0.35,80,3514
2016-4-1,0:00:41,202.120.1.6,202.120.0.11,80,3329
2016-4-1,0:00:41,202.120.1.3,202.120.0.11,80,3181
2016-4-1,0:00:41,202.120.1.3,202.120.0.11,80,448
2016-4-1,0:00:41,202.120.1.3,202.120.0.11,80,2630
2016-4-1,0:00:41,202.120.1.3,202.120.0.11,80,1803
2016-4-1,0:00:41,202.120.1.7,202.120.0.11,80,641
2016-4-1,0:00:41,202.120.0.2,202.120.1.2,80,116
2016-4-1,0:00:41,202.120.1.7,202.120.0.11,80,3484
2016-4-1,0:00:41,202.120.1.8,202.120.1.9,80,1917
2016-4-1,0:00:41,202.120.1.10,202.120.0.33,80,3548
2016-4-1,0:00:41,202.120.1.10,202.120.0.33,80,992
2016-4-1,0:00:41,202.120.1.10,202.120.0.33,80,3200
2016-4-1,0:00:41,202.120.1.10,202.120.0.33,80,1871
2016-4-1,0:00:41,202.120.1.10,202.120.0.33,80,448
2016-4-1,0:00:41,202.120.0.30,202.120.1.2,80,2628
2016-4-1,0:00:41,202.120.0.30,202.120.1.11,80,3514
2016-4-1,0:00:41,202.120.1.7,202.120.0.11,80,448
2016-4-1,0:00:41,202.120.0.23,202.120.0.20,80,1228
2016-4-1,0:00:41,202.120.0.23,202.120.0.35,80,604
2016-4-1,0:00:41,202.120.0.2,202.120.1.2,80,158
2016-4-1,0:00:41,202.120.0.30,202.120.0.35,80,352
2016-4-1,0:00:41,202.120.0.30,202.120.0.35,80,1041
2016-4-1,0:00:41,202.120.1.5,202.120.0.11,80,2027
2016-4-1,0:00:41,202.120.1.6,202.120.0.11,80,2027
2016-4-1,0:00:49,202.120.0.37,202.120.0.39,80,3950
2016-4-1,0:00:49,202.120.0.37,202.120.0.39,80,492
2016-4-1,0:00:49,202.120.0.37,202.120.0.39,80,2164
2016-4-1,0:00:49,202.120.1.12,202.120.0.11,80,2043
2016-4-1,0:00:49,202.120.1.13,202.120.0.35,80,2021
2016-4-1,0:00:49,202.120.1.7,202.120.0.24,80,1637
